,Date/Time,Lat,Lon,Base
0,4/1/2014 0:11:00,40.769,-73.9549,B02512
1,4/1/2014 0:17:00,40.7267,-74.0345,B02512
2,4/1/2014 0:21:00,40.7316,-73.9873,B02512
3,4/1/2014 0:28:00,40.7588,-73.9776,B02512
4,4/1/2014 0:33:00,40.7594,-73.9722,B02512
5,4/1/2014 0:33:00,40.7383,-74.0403,B02512
6,4/1/2014 0:39:00,40.7223,-73.9887,B02512
7,4/1/2014 0:45:00,40.762,-73.979,B02512
8,4/1/2014 0:55:00,40.7524,-73.99600000000001,B02512
9,4/1/2014 1:01:00,40.7575,-73.9846,B02512
10,4/1/2014 1:19:00,40.7256,-73.9869,B02512
11,4/1/2014 1:48:00,40.7591,-73.9684,B02512
12,4/1/2014 1:49:00,40.7271,-73.9803,B02512
13,4/1/2014 2:11:00,40.6463,-73.7896,B02512
14,4/1/2014 2:25:00,40.7564,-73.9167,B02512
15,4/1/2014 2:31:00,40.7666,-73.9531,B02512
16,4/1/2014 2:43:00,40.758,-73.9761,B02512
17,4/1/2014 3:22:00,40.7238,-73.9821,B02512
18,4/1/2014 3:35:00,40.7531,-74.0039,B02512
19,4/1/2014 3:35:00,40.7389,-74.0393,B02512
20,4/1/2014 3:41:00,40.7619,-73.9715,B02512
21,4/1/2014 4:11:00,40.753,-74.0042,B02512
22,4/1/2014 4:15:00,40.6561,-73.9531,B02512
23,4/1/2014 4:19:00,40.725,-73.9844,B02512
24,4/1/2014 4:20:00,40.695,-74.1783,B02512
25,4/1/2014 4:26:00,40.9859,-74.1578,B02512
26,4/1/2014 4:27:00,40.6879,-74.1814,B02512
27,4/1/2014 4:38:00,40.6878,-74.1816,B02512
28,4/1/2014 4:47:00,40.7234,-73.9974,B02512
29,4/1/2014 4:49:00,40.7336,-73.99,B02512
30,4/1/2014 5:08:00,40.7141,-74.0094,B02512
31,4/1/2014 5:12:00,40.7893,-73.9709,B02512
32,4/1/2014 5:18:00,40.7747,-73.991,B02512
33,4/1/2014 5:19:00,40.7689,-73.9876,B02512
34,4/1/2014 5:23:00,40.7744,-74.0149,B02512
35,4/1/2014 5:24:00,40.7393,-73.9974,B02512
36,4/1/2014 5:24:00,40.7776,-73.9752,B02512
37,4/1/2014 5:27:00,40.6483,-73.7829,B02512
38,4/1/2014 5:34:00,40.6907,-74.1782,B02512
39,4/1/2014 5:36:00,40.7217,-73.9875,B02512
40,4/1/2014 5:36:00,40.7651,-73.9632,B02512
41,4/1/2014 5:40:00,40.7437,-73.9985,B02512
42,4/1/2014 5:43:00,40.7605,-73.97800000000001,B02512
43,4/1/2014 5:44:00,40.743,-74.0301,B02512
44,4/1/2014 5:44:00,40.743,-74.0301,B02512
45,4/1/2014 5:49:00,40.7423,-74.0371,B02512
46,4/1/2014 5:49:00,40.7236,-74.0037,B02512
47,4/1/2014 5:52:00,40.7723,-73.9527,B02512
48,4/1/2014 5:52:00,40.7574,-73.9862,B02512
49,4/1/2014 5:53:00,40.7838,-73.9504,B02512
50,4/1/2014 5:54:00,40.7711,-73.9871,B02512
51,4/1/2014 5:56:00,40.7571,-73.9726,B02512
52,4/1/2014 5:56:00,40.7442,-73.9854,B02512
53,4/1/2014 5:58:00,40.7166,-74.0144,B02512
54,4/1/2014 6:00:00,40.7507,-73.9703,B02512
55,4/1/2014 6:01:00,40.7337,-73.9979,B02512
56,4/1/2014 6:02:00,40.7236,-74.0111,B02512
57,4/1/2014 6:03:00,40.7151,-74.0464,B02512
58,4/1/2014 6:06:00,40.7701,-73.9588,B02512
59,4/1/2014 6:08:00,40.86,-73.9142,B02512
60,4/1/2014 6:08:00,40.7555,-73.9729,B02512
61,4/1/2014 6:14:00,40.7249,-74.0355,B02512
62,4/1/2014 6:14:00,40.6193,-74.157,B02512
63,4/1/2014 6:15:00,40.7753,-73.97800000000001,B02512
64,4/1/2014 6:15:00,40.7204,-73.9545,B02512
65,4/1/2014 6:16:00,40.7772,-73.9595,B02512
66,4/1/2014 6:17:00,40.7651,-74.082,B02512
